"Timestamp","Wie fanden sie die Aufgaben?","Konnten sie sich auf der Seite zurecht finden?","Wie fanden sie die Menüführung?","Wie fanden sie die Anordnung der Elemente?","Gab es etwas störendes auf der Seite?","Was hat ihnen gut gefallen?","Weitere Kritik "
"2017/06/28 4:10:05 pm EET","2","1","1","2","","",""
"2017/06/28 4:19:22 pm EET","1","4","2","2","","Simplizität","Zu wenig web 3.0 "
"2017/06/28 4:30:41 pm EET","2","3","3","2","","",""
"2017/06/28 4:43:41 pm EET","1","1","2","1","learning text besser ""module description"", multipLe!","überschaubar und aufgeräumtes design, einfach zu navigieren",""
"2017/09/06 1:13:02 pm EET","2","2","2","2","","",""
"2017/09/06 1:19:31 pm EET","2","3","2","3","","",""
"2017/09/06 1:27:07 pm EET","1","1","2","1","fehlendes feedback beim ändern des passwortes","menü anordnung",""
"2017/09/06 1:35:07 pm EET","2","2","1","2","","Format",""
"2017/09/06 1:45:12 pm EET","3","2","4","2","","",""
"2017/09/06 1:53:01 pm EET","1","1","1","1","","",""
"2017/09/25 2:53:51 pm EET","1","1","1","1","","",""
"2017/09/25 3:17:08 pm EET","1","3","3","2","","",""
"2017/09/25 3:26:09 pm EET","2","1","2","1","Menüführung manchmal noch verwirrend (Navigation)","Das Chamäleonvideo",""
"2017/09/25 3:37:01 pm EET","1","1","1","2","","",""
